locale,en_messages,translated,missing,empty,parse_errors,percent_complete
de,11927,11927,0,0,0,100.00
dsb,11927,11927,0,0,0,100.00
en-GB,11927,11927,0,0,0,100.00
es-CL,11927,11927,0,0,0,100.00
es-MX,11927,11927,0,0,0,100.00
fy-NL,11927,11927,0,0,0,100.00
hsb,11927,11927,0,0,0,100.00
ia,11927,11927,0,0,0,100.00
it,11927,11927,0,0,0,100.00
ka,11927,11927,0,0,0,100.00
ko,11927,11927,0,0,0,100.00
nl,11927,11927,0,0,0,100.00
nn-NO,11927,11927,0,0,0,100.00
ru,11927,11927,0,0,0,100.00
sr,11927,11927,0,0,0,100.00
sv-SE,11927,11927,0,0,0,100.00
th,11927,11927,0,0,0,100.00
tr,11927,11927,0,0,0,100.00
zh-TW,11927,11927,0,0,0,100.00
fr,11927,11926,1,0,0,99.99
kk,11927,11926,1,0,0,99.99
nb-NO,11927,11920,7,0,0,99.94
cy,11927,11917,10,0,0,99.92
es-ES,11927,11917,10,0,0,99.92
eu,11927,11918,9,0,0,99.92
sk,11927,11917,10,0,0,99.92
el,11927,11914,13,0,0,99.89
es-AR,11927,11913,14,0,0,99.88
zh-CN,11927,11905,22,0,0,99.82
pt-BR,11927,11898,29,0,0,99.76
be,11927,11891,36,0,0,99.70
cs,11927,11882,45,0,0,99.62
hu,11927,11873,54,0,0,99.55
eo,11927,11871,56,0,0,99.53
pl,11927,11871,56,0,0,99.53
vi,11927,11807,120,0,0,98.99
ja,11927,11781,146,0,0,98.78
ja-JP-mac,11927,11781,146,0,0,98.78
ro,11927,11780,147,0,0,98.77
en-CA,11927,11778,149,0,0,98.75
gn,11927,11728,199,0,0,98.33
pt-PT,11927,11686,241,0,0,97.98
fi,11927,11678,249,0,0,97.91
sl,11927,11502,425,0,0,96.44
da,11927,11495,432,0,0,96.38
tg,11927,11387,540,0,0,95.47
pa-IN,11927,11350,577,0,0,95.16
he,11927,11347,580,0,0,95.14
sq,11927,11332,595,0,0,95.01
uk,11927,11251,676,0,0,94.33
hr,11927,11161,766,0,0,93.58
fur,11927,10987,940,0,0,92.12
ar,11927,10846,1081,0,0,90.94
rm,11927,10751,1176,0,0,90.14
id,11927,10269,1658,0,0,86.10
gl,11927,10176,1751,0,0,85.32
bs,11927,10091,1836,0,0,84.61
is,11927,9731,2196,0,0,81.59
hy-AM,11927,9491,2436,0,0,79.58
kab,11927,9433,2494,0,0,79.09
ca,11927,9414,2513,0,0,78.93
sc,11927,9301,2626,0,0,77.98
skr,11927,8947,2980,0,0,75.01
oc,11927,8539,3388,0,0,71.59
sat,11927,8424,3503,0,0,70.63
bg,11927,8358,3569,0,0,70.08
gd,11927,8212,3715,0,0,68.85
br,11927,8140,3787,0,0,68.25
lv,11927,7426,4501,0,0,62.26
ml,11927,7382,4545,0,0,61.89
cak,11927,7303,4624,0,0,61.23
fa,11927,7205,4722,0,0,60.41
et,11927,6926,5001,0,0,58.07
si,11927,6897,5030,0,0,57.83
lt,11927,6787,5140,0,0,56.90
hye,11927,6615,5312,0,0,55.46
tl,11927,6580,5347,0,0,55.17
lo,11927,6210,5717,0,0,52.07
bn,11927,6185,5742,0,0,51.86
ca-valencia,11927,6005,5922,0,0,50.35
szl,11927,5700,6227,0,0,47.79
sco,11927,5666,6261,0,0,47.51
te,11927,5557,6370,0,0,46.59
ur,11927,5436,6491,0,0,45.58
hi-IN,11927,5297,6630,0,0,44.41
an,11927,5201,6726,0,0,43.61
mk,11927,5093,6834,0,0,42.70
